File,InputClass,Prediction,PredictionStatus,Percentage
airport_26_1_msrgb.jpg,airport,airport,Correct,0.99986887
airport_45_3_msrgb.jpg,airport,space_facility,Incorrect,0.9897099
airport_55_0_msrgb.jpg,airport,airport,Correct,1.0
airport_6_0_msrgb.jpg,airport,runway,Incorrect,0.65532273
airport_hangar_103_2_msrgb.jpg,airport_hangar,waste_disposal,Incorrect,0.32458022
airport_hangar_16_0_msrgb.jpg,airport_hangar,place_of_worship,Incorrect,0.96304077
airport_hangar_56_0_msrgb.jpg,airport_hangar,flooded_road,Incorrect,0.99073887
airport_hangar_66_8_msrgb.jpg,airport_hangar,road_bridge,Incorrect,0.6396431
airport_hangar_72_6_msrgb.jpg,airport_hangar,military_facility,Incorrect,0.56748325
airport_terminal_156_1_msrgb.jpg,airport_terminal,oil_or_gas_facility,Incorrect,0.5979644
airport_terminal_36_2_msrgb.jpg,airport_terminal,airport,Incorrect,0.99070084
airport_terminal_3_3_msrgb.jpg,airport_terminal,shopping_mall,Incorrect,0.60180527
airport_terminal_44_3_msrgb.jpg,airport_terminal,impoverished_settlement,Incorrect,0.91048205
airport_terminal_85_0_msrgb.jpg,airport_terminal,airport_hangar,Incorrect,0.98577833
amusement_park_178_11_msrgb.jpg,amusement_park,zoo,Incorrect,0.99492234
amusement_park_48_1_msrgb.jpg,amusement_park,space_facility,Incorrect,0.75195074
amusement_park_57_6_msrgb.jpg,amusement_park,gas_station,Incorrect,0.97099584
amusement_park_85_9_msrgb.jpg,amusement_park,gas_station,Incorrect,0.95613235
amusement_park_96_0_msrgb.jpg,amusement_park,hospital,Incorrect,0.50141704
aquaculture_22_3_msrgb.jpg,aquaculture,golf_course,Incorrect,0.42032486
aquaculture_34_2_msrgb.jpg,aquaculture,aquaculture,Correct,0.51552194
aquaculture_36_4_msrgb.jpg,aquaculture,aquaculture,Correct,0.9828708
aquaculture_45_4_msrgb.jpg,aquaculture,aquaculture,Correct,0.9965779
aquaculture_57_3_msrgb.jpg,aquaculture,aquaculture,Correct,0.4958666
archaeological_site_15_7_msrgb.jpg,archaeological_site,airport,Incorrect,0.99854004
archaeological_site_33_4_msrgb.jpg,archaeological_site,tower,Incorrect,0.74749506
archaeological_site_46_5_msrgb.jpg,archaeological_site,debris_or_rubble,Incorrect,0.6128148
archaeological_site_71_1_msrgb.jpg,archaeological_site,airport,Incorrect,0.99944633
archaeological_site_78_1_msrgb.jpg,archaeological_site,airport,Incorrect,0.625425
barn_12_4_msrgb.jpg,barn,lake_or_pond,Incorrect,0.9273482
barn_201_3_msrgb.jpg,barn,tower,Incorrect,0.98647434
barn_249_1_msrgb.jpg,barn,debris_or_rubble,Incorrect,0.9956754
barn_278_11_msrgb.jpg,barn,place_of_worship,Incorrect,0.6235452
barn_289_4_msrgb.jpg,barn,place_of_worship,Incorrect,0.98030937
border_checkpoint_0_6_msrgb.jpg,border_checkpoint,place_of_worship,Incorrect,0.993153
border_checkpoint_23_2_msrgb.jpg,border_checkpoint,fountain,Incorrect,0.8221107
border_checkpoint_28_1_msrgb.jpg,border_checkpoint,place_of_worship,Incorrect,0.9344572
border_checkpoint_41_5_msrgb.jpg,border_checkpoint,airport_hangar,Incorrect,0.5175233
border_checkpoint_5_6_msrgb.jpg,border_checkpoint,runway,Incorrect,0.7789122
burial_site_13_6_msrgb.jpg,burial_site,barn,Incorrect,0.7786311
burial_site_149_5_msrgb.jpg,burial_site,place_of_worship,Incorrect,0.9723971
burial_site_17_6_msrgb.jpg,burial_site,swimming_pool,Incorrect,0.38029155
burial_site_40_1_msrgb.jpg,burial_site,airport_hangar,Incorrect,0.43560624
burial_site_88_2_msrgb.jpg,burial_site,recreational_facility,Incorrect,0.7295663
