InputClass,ClassAccuracy
airport,0.5
airport_hangar,0.0
airport_terminal,0.2
amusement_park,0.0
aquaculture,0.4
archaeological_site,0.2
barn,0.2
border_checkpoint,0.0
burial_site,0.0
car_dealership,0.4
construction_site,0.2
crop_field,0.0
dam,0.0
debris_or_rubble,0.0
educational_institution,0.0
electric_substation,0.2
factory_or_powerplant,0.0
fire_station,0.0
flooded_road,0.2
fountain,0.0
gas_station,0.0
golf_course,0.8
ground_transportation_station,0.0
helipad,0.0
hospital,0.0
impoverished_settlement,0.6
interchange,0.0
lake_or_pond,0.2
lighthouse,0.2
military_facility,0.0
multi-unit_residential,0.0
nuclear_powerplant,0.0
office_building,0.0
oil_or_gas_facility,0.2
park,0.0
parking_lot_or_garage,0.0
place_of_worship,0.2
police_station,0.0
port,0.2
prison,0.0
race_track,0.6
railway_bridge,0.0
recreational_facility,0.0
road_bridge,0.0
runway,0.2
shipyard,0.25
shopping_mall,0.4
single-unit_residential,0.0
smokestack,0.0
solar_farm,0.8
space_facility,0.2
stadium,0.4
storage_tank,0.4
surface_mine,0.4
swimming_pool,0.0
toll_booth,0.25
tower,0.0
tunnel_opening,0.6
waste_disposal,0.0
water_treatment_facility,0.0
wind_farm,0.0
zoo,0.0
